Day,0
1,65.87692307692308
2,65.54615384615384
3,66.11923076923078
4,59.892307692307675
5,66.00384615384617
6,65.44615384615385
7,65.14230769230768
8,64.9576923076923
9,58.88846153846153
10,53.48076923076924
11,60.37692307692308
12,61.323076923076925
13,61.47692307692307
14,60.24230769230769
15,59.607692307692304
16,59.307692307692314
17,65.9846153846154
18,59.02307692307693
19,65.6
20,58.79999999999999
21,59.892307692307696
22,59.957692307692305
23,54.46153846153847
24,67.06923076923077
25,66.85000000000002
26,60.576923076923066
27,60.43461538461539
28,60.62307692307692
29,61.24230769230769
30,61.48846153846154
31,61.88461538461539
